ID;invoice_ID;line_number;product_ID;description;po_number;po_item;quantity;uom_code;unit_price;net_amount;tax_code;tax_amount;delivery_ID;fuel_order_ID;ticket_number;ticket_ID;resolved_po_number;resolved_gr_number;resolution_source;cost_center;gl_account;line_match_status;price_variance_pct;qty_variance_pct
21a00005-0000-4000-8000-000000000006;21a00004-0000-4000-8000-000000000002;20;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ;;;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041405;21a00003-0000-4000-8000-000000000005;;;TICKET_NUMBER;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000007;21a00004-0000-4000-8000-000000000002;30;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ;;;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041406;21a00003-0000-4000-8000-000000000006;;;TICKET_NUMBER;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000008;21a00004-0000-4000-8000-000000000003;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210008;00010;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041408;21a00003-0000-4000-8000-000000000008;4500210008;5000210008;TICKET_NUMBER;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000009;21a00004-0000-4000-8000-000000000003;20;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210008;00010;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041408;21a00003-0000-4000-8000-000000000008;4500210008;5000210008;TICKET_NUMBER;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000010;21a00004-0000-4000-8000-000000000004;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500210009;00010;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041409;21a00003-0000-4000-8000-000000000009;4500210009;5000210009;TICKET_NUMBER;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000011;21a00004-0000-4000-8000-000000000005;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-14;4500999999;00010;10000.000;KG;0.8500;8500.00;;0.00;;;WFS-YYZ-2026041410;21a00003-0000-4000-8000-000000000010;4500210010;5000210010;TICKET_NUMBER;;;UNMATCHED;;
21a00005-0000-4000-8000-000000000012;21a00004-0000-4000-8000-000000000006;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift MNL 2026-04-14;4500210007;00010;10000.000;KG;0.8500;8500.00;;0.00;;;PETRON-MNL-2026041407;21a00003-0000-4000-8000-000000000007;4500210007;5000210007;TICKET_NUMBER;;;UNMATCHED;;
f1c00001-0000-4000-8000-000000000001;f1c00000-0000-4000-8000-000000000001;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-10 AC412;4500210013;00010;2881.250;LTR;0.7100;2045.69;;0.00;a7b8c9d0-7777-4000-8000-0000000d0003;f6a7b8c9-6666-4000-8000-0000000d0003;WFS-YYZ-20260410-31;b8c9d0e1-8888-4000-8000-0000000d0004;4500210013;5000210013;TICKET_ID;;;UNMATCHED;;
f1c00001-0000-4000-8000-000000000002;f1c00000-0000-4000-8000-000000000002;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-10 AC410;4500210011;00010;2881.250;LTR;0.7100;2045.69;;0.00;a7b8c9d0-7777-4000-8000-0000000d0001;f6a7b8c9-6666-4000-8000-0000000d0001;WFS-YYZ-20260410-11;b8c9d0e1-8888-4000-8000-0000000d0001;4500210011;5000210011;TICKET_ID;;;UNMATCHED;;
f1c00001-0000-4000-8000-000000000003;f1c00000-0000-4000-8000-000000000002;20;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-10 AC410;4500210011;00010;2881.250;LTR;0.7100;2045.69;;0.00;a7b8c9d0-7777-4000-8000-0000000d0001;f6a7b8c9-6666-4000-8000-0000000d0001;WFS-YYZ-20260410-11;b8c9d0e1-8888-4000-8000-0000000d0001;4500210011;5000210011;TICKET_ID;;;UNMATCHED;;
f1c00001-0000-4000-8000-000000000004;f1c00000-0000-4000-8000-000000000003;10;c3d4e5f6-3333-4000-8000-000000000001;Jet A-1 uplift YYZ 2026-04-10 AC856;4500210012;00010;53800.000;LTR;0.7100;38198.00;;0.00;a7b8c9d0-7777-4000-8000-0000000d0002;f6a7b8c9-6666-4000-8000-0000000d0002;WFS-YYZ-20260410-21;b8c9d0e1-8888-4000-8000-0000000d0002;4500210012;5000210012;TICKET_ID;;;UNMATCHED;;
