ID;aircraft_type_code;tail_number;tail_registration;record_date;record_time;sequence;airport_ID;airport_code;flight_ID;fuel_burn_ID;fuel_delivery_ID;entry_type;opening_rob_kg;uplift_kg;burn_kg;adjustment_kg;closing_rob_kg;max_capacity_kg;rob_percentage;adjustment_reason;adjustment_approved_by;adjustment_approved_at;data_source;is_estimated;created_at;created_by;modified_at;modified_by
4ae1f2a3-aaaa-4000-8000-000000006002;A320;RP-C8805;RP-C8805;2026-04-05;07:30:00;2;a1b2c3d4-1111-4000-8000-000000000001;MNL;;;;ADJUSTMENT;9000.00;0.00;0.00;-2500.00;6500.00;18000.00;36.11;TC08 defuel - 2500 kg removed for shorter replacement routing;;;MANUAL;false;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
4ae1f2a3-aaaa-4000-8000-000000006003;A320;RP-C8888;RP-C8888;2026-04-06;05:00:00;1;a1b2c3d4-1111-4000-8000-000000000001;MNL;;;;INITIAL;0.00;0.00;0.00;0.00;3000.00;18000.00;16.67;Broken chain scenario - an uplift is missing from this rotation;;;MANUAL;false;2026-04-01T00:00:00Z;WP06_SEED;2026-04-01T00:00:00Z;WP06_SEED
40b00000-0000-4000-8000-0000000d0001;A320;C-FDMO;C-FDMO;2026-04-10;23:40:00;1;a1b2c3d4-1111-4000-8000-000000000020;YYZ;e5f6a7b8-5555-4000-8000-0000000d0001;;;OPENING;1950.00;;;;1950.00;19100.00;10.21;Opening balance on stand at YYZ, end of the inbound leg.;;;ACARS;false;2026-08-25T00:00:00Z;S1_CORRECTION;2026-08-25T00:00:00Z;S1_CORRECTION
40b00000-0000-4000-8000-0000000d0002;A320;C-FDMO;C-FDMO;2026-04-10;10:20:00;2;a1b2c3d4-1111-4000-8000-000000000020;YYZ;e5f6a7b8-5555-4000-8000-0000000d0001;;;ADJUSTMENT;1950.00;;52.50;;1897.50;19100.00;9.93;Ground burn YYZ. Derives from APU cycle 1: 30 min x 105 kg/h.;;;ACARS;false;2026-08-25T00:00:00Z;S1_CORRECTION;2026-08-25T00:00:00Z;S1_CORRECTION
40b00000-0000-4000-8000-0000000d0003;A320;C-FDMO;C-FDMO;2026-04-10;10:45:00;3;a1b2c3d4-1111-4000-8000-000000000020;YYZ;e5f6a7b8-5555-4000-8000-0000000d0001;;a7b8c9d0-7777-4000-8000-0000000d0001;UPLIFT;1897.50;2305.00;;;4202.50;19100.00;22.00;Uplift. Closing must equal FUEL_DELIVERIES.fob_after_kg.;;;ACARS;false;2026-08-25T00:00:00Z;S1_CORRECTION;2026-08-25T00:00:00Z;S1_CORRECTION
40b00000-0000-4000-8000-0000000d0004;A320;C-FDMO;C-FDMO;2026-04-10;12:33:00;4;a1b2c3d4-1111-4000-8000-000000000022;YUL;e5f6a7b8-5555-4000-8000-0000000d0001;fb100000-0000-4000-8000-0000000d0001;;BURN;4202.50;;2280.00;;1922.50;19100.00;10.07;Block burn. Closing must equal FLIGHT_SCHEDULE.fob_at_in_kg.;;;ACARS;false;2026-08-25T00:00:00Z;S1_CORRECTION;2026-08-25T00:00:00Z;S1_CORRECTION
40b00000-0000-4000-8000-0000000d0005;A320;C-FDMO;C-FDMO;2026-04-10;12:52:00;5;a1b2c3d4-1111-4000-8000-000000000022;YUL;e5f6a7b8-5555-4000-8000-0000000d0001;;;ADJUSTMENT;1922.50;;33.25;;1889.25;19100.00;9.89;Ground burn YUL to flight closure. APU cycle 2: 19 min x 105 kg/h.;;;ACARS;false;2026-08-25T00:00:00Z;S1_CORRECTION;2026-08-25T00:00:00Z;S1_CORRECTION
40b00000-0000-4000-8000-0000000d1001;A320;C-FDMP;C-FDMP;2026-04-10;13:10:00;1;a1b2c3d4-1111-4000-8000-000000000020;YYZ;e5f6a7b8-5555-4000-8000-0000000d0003;;;OPENING;2002.50;;;;2002.50;19100.00;10.48;Opening on stand at YYZ.;;;ACARS;false;2026-08-25T00:00:00Z;S3_CORRECTION;2026-08-25T00:00:00Z;S3_FIGURES
40b00000-0000-4000-8000-0000000d1002;A320;C-FDMP;C-FDMP;2026-04-10;14:15:00;2;a1b2c3d4-1111-4000-8000-000000000020;YYZ;e5f6a7b8-5555-4000-8000-0000000d0003;;;ADJUSTMENT;2002.50;;105.00;;1897.50;19100.00;9.93;Ground burn YYZ. Derives from the PRE_DEPARTURE cycle: 60 min x 105 kg/h.;;;ACARS;false;2026-08-25T00:00:00Z;S3_CORRECTION;2026-08-25T00:00:00Z;S3_FIGURES
40b00000-0000-4000-8000-0000000d1003;A320;C-FDMP;C-FDMP;2026-04-10;14:47:00;3;a1b2c3d4-1111-4000-8000-000000000020;YYZ;e5f6a7b8-5555-4000-8000-0000000d0003;;a7b8c9d0-7777-4000-8000-0000000d0003;UPLIFT;1897.50;2185.00;;;4082.50;19100.00;21.37;Uplift by GAUGE. The meter says 4803.40 - that gap is what S3 exists to show.;;;ACARS;false;2026-08-25T00:00:00Z;S3_CORRECTION;2026-08-25T00:00:00Z;S3_FIGURES
40b00000-0000-4000-8000-0000000d1004;A320;C-FDMP;C-FDMP;2026-04-10;16:22:00;4;a1b2c3d4-1111-4000-8000-000000000022;YUL;e5f6a7b8-5555-4000-8000-0000000d0003;fb100000-0000-4000-8000-0000000d0003;;BURN;4082.50;;2280.00;;1802.50;19100.00;9.44;Block burn. Closing equals FLIGHT_SCHEDULE.fob_at_in_kg.;;;ACARS;false;2026-08-25T00:00:00Z;S3_CORRECTION;2026-08-25T00:00:00Z;S3_FIGURES
40b00000-0000-4000-8000-0000000d1005;A320;C-FDMP;C-FDMP;2026-04-10;16:42:00;5;a1b2c3d4-1111-4000-8000-000000000022;YUL;e5f6a7b8-5555-4000-8000-0000000d0003;;;ADJUSTMENT;1802.50;;35.00;;1767.50;19100.00;9.25;Ground burn YUL to flight closure.;;;ACARS;false;2026-08-25T00:00:00Z;S3_CORRECTION;2026-08-25T00:00:00Z;S3_FIGURES
