ID;order_ID;milestone_type;milestone_sequence;milestone_timestamp;performed_by;is_system_generated;notes;external_reference;created_at;created_by;modified_at;modified_by
d1e2f3a4-8001-4000-8000-000000000019;f6a7b8c9-6666-4000-8000-000000000004;Created;1;2026-01-16T09:00:00Z;station.singapore@airline.com;false;Return flight order;;2026-01-16T09:00:00Z;SYSTEM;2026-01-16T09:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000020;f6a7b8c9-6666-4000-8000-000000000004;Submitted;2;2026-01-16T09:30:00Z;station.singapore@airline.com;false;Submitted for review;;2026-01-16T09:30:00Z;SYSTEM;2026-01-16T09:30:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000021;f6a7b8c9-6666-4000-8000-000000000007;Created;1;2026-01-15T09:00:00Z;station.coordinator@airline.com;false;Domestic flight order;;2026-01-15T09:00:00Z;SYSTEM;2026-01-15T09:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000022;f6a7b8c9-6666-4000-8000-000000000007;Submitted;2;2026-01-15T09:30:00Z;station.coordinator@airline.com;false;;;2026-01-15T09:30:00Z;SYSTEM;2026-01-15T09:30:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000023;f6a7b8c9-6666-4000-8000-000000000007;Approved;3;2026-01-15T11:00:00Z;ops.manager@airline.com;false;;;2026-01-15T11:00:00Z;SYSTEM;2026-01-15T11:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000024;f6a7b8c9-6666-4000-8000-000000000007;Dispatched;4;2026-01-15T11:30:00Z;SYSTEM;true;;SHL-TXN-20260117-007;2026-01-15T11:30:00Z;SYSTEM;2026-01-15T11:30:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000025;f6a7b8c9-6666-4000-8000-000000000007;Acknowledged;5;2026-01-15T11:35:00Z;SYSTEM;true;;SHL-ACK-20260117-007;2026-01-15T11:35:00Z;SYSTEM;2026-01-15T11:35:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000026;f6a7b8c9-6666-4000-8000-000000000007;InProgress;6;2026-01-17T07:00:00Z;station.coordinator@airline.com;false;;;2026-01-17T07:00:00Z;SYSTEM;2026-01-17T07:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000027;f6a7b8c9-6666-4000-8000-000000000007;Completed;7;2026-01-17T07:45:00Z;station.coordinator@airline.com;false;ePOD signed;;2026-01-17T07:45:00Z;SYSTEM;2026-01-17T07:45:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000028;f6a7b8c9-6666-4000-8000-000000000007;POCreated;8;2026-01-17T08:00:00Z;SYSTEM;true;PO auto-created;4500001002;2026-01-17T08:00:00Z;SYSTEM;2026-01-17T08:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000029;f6a7b8c9-6666-4000-8000-000000000007;GRPosted;9;2026-01-17T08:15:00Z;SYSTEM;true;GR auto-posted;;2026-01-17T08:15:00Z;SYSTEM;2026-01-17T08:15:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000030;f6a7b8c9-6666-4000-8000-000000000011;Created;1;2026-01-15T14:00:00Z;fuel.planner@airline.com;false;Emergency order created;;2026-01-15T14:00:00Z;SYSTEM;2026-01-15T14:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000031;f6a7b8c9-6666-4000-8000-000000000011;Cancelled;2;2026-01-16T12:00:00Z;ops.manager@airline.com;false;Flight schedule changed;;2026-01-16T12:00:00Z;SYSTEM;2026-01-16T12:00:00Z;SYSTEM
